Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C35, C37, C44, C49",0603,6,1uF,
C10,0805,1,22uF,
"C11, C12, C3, C4, C7, C8",0805,6,4.7uF,
"C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C30, C31, C34, C36, C41, C46, C47, C50, C51, C54, C56, C59, C61, C64, C66, C68, C69, C70, C71, C72, C74, C75, C76",0402,39,100nF,
"C29, C32, C33, C67",0603,4,4.7uF,
"C38, C42, C43, C73, C77",0603,5,2.2uF,
"C39, C40, C57, C58",0402,4,10pF,
"C45, C55",0603,2,5.6uF,
"C48, C60",0805,2,100uF,
"C5, C6, C9",0805,3,10uF,
C52,0402,1,2.2uF,
"C53, C62, C65",0402,3,4.7uF,
C63,0402,1,1uF,
"D1, D2, D3",BAT165,3,BAT165,
"D4, D5, D6, D7, D8, D9",0603,6,LED,
"FB1, FB2, FB3, FB4",0603,4,FerriteBead,
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
"J3, J4",GT-USB-7047B_JLCPCB,2,USB_C_Receptacle_USB2.0_16P,
J5,TE_1-84952-5_1x15-1MP_P1.0mm_Horizontal,1,Conn_01x15,
"R1, R13, R15, R2, R22, R24, R25, R3",0402,8,10kR,
"R10, R16",0402,2,3k3R,
"R11, R17",0402,2,430kR,
"R12, R18",0402,2,620kR,
"R14, R23",0402,2,900kR,
R19,0402,1,20kR,
R20,0402,1,1MR,
R21,0402,1,8.06kR 1%,
"R26, R27",Widerstandsarray_1,2,10kR,
"R28, R29",0402,2,1.5kR,
R4,0402,1,5kR,
"R5, R8",0402,2,330R,
"R6, R7, R9",0402,3,1kR,
U1,SOT-23,1,MCP1700x-180xxTT,
"U10, U6",SOT-23-6,2,USBLC6-2SC6,
"U11, U7",TUSB321RWBR,2,TUSB321RWBR,
U12,EMMC,1,EMMC64G-IY29-5B101,
U13,TSOP-II-54_22.2x10.16mm_P0.8mm,1,IS42S16400J-7TL,
U2,SOT-223-3_TabPin2,1,AMS1117-5.0,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
U4,LQFP-208_28x28mm_P0.5mm,1,STM32F769BIT6,
"U5, U8",STMPS,2,STMPS2151STR,
U9,USB_ULPI,1,USB3320C-EZK-TR,
Y1,XTAL_ECS-240-10-36-CKM-TR,1,26MHz,
Y2,XTAL_ECS-240-10-36-CKM-TR,1,24MHz,
